feature,importance
recent_form_score,0.11470152446136844
performance_std,0.08248369928346476
bat_avg_sr,0.06108437846648936
performance_cv,0.05889913739330353
bowl_avg_economy,0.05602103728855729
venue_performance,0.05444203803327131
venue_bat_avg,0.05338023384842065
bat_consistency,0.04704564790366869
bat_matches,0.0456281218346274
bat_avg_runs,0.04233002728653459
venue_matches,0.040912539358314653
opp_bat_avg,0.04072460241669531
opp_performance,0.039885460870206016
bat_recent_form,0.036841273720173484
bowl_consistency,0.036186378587608516
bowl_matches,0.035555201112937154
bowl_avg_wickets,0.027515380068119048
bat_max_score,0.025599372027425512
opp_matches,0.025499863427838623
opp_bowl_avg,0.024519125195484007
venue_bowl_avg,0.022631510678354387
bowl_recent_form,0.016116525253463646
bowl_max_wickets,0.007579343649210679
matches_in_window,0.004417577834462857
